mom height,dad height,mid-parent,offspring height,Sex
5.166666667,5.75,5.458333333,5.166666667,F
5.75,6,5.875,5.75,M
5.583333333,6.333333333,5.958333333,5.583333333,F
5.5,5.75,5.625,5.5,M
5.333333333,5.583333333,5.458333333,5.333333333,F
5.583333333,5.833333333,5.708333333,5.583333333,M
5.166666667,6.083333333,5.625,5.166666667,F
5.666666667,6.416666667,6.041666667,5.833333333,F
5.583333333,6.083333333,5.833333333,5.5,F
5.166666667,5.916666667,5.541666667,5.25,F
5.25,6.166666667,5.708333333,5.416666667,F
